"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
417,32,"BRA","Brazil",1,"Acre","","","Estado","State"
418,32,"BRA","Brazil",2,"Alagoas","","","Estado","State"
419,32,"BRA","Brazil",3,"Amapá","","","Estado","State"
420,32,"BRA","Brazil",4,"Amazonas","","Amazone","Estado","State"
421,32,"BRA","Brazil",5,"Bahia","","Ba¡a","Estado","State"
422,32,"BRA","Brazil",6,"Ceará","","","Estado","State"
423,32,"BRA","Brazil",7,"Distrito Federal","","","Distrito Federal","Federal District"
424,32,"BRA","Brazil",8,"Espírito Santo","","Espiritu Santo","Estado","State"
425,32,"BRA","Brazil",9,"Goiás","","Goiáz|Goyáz","Estado","State"
426,32,"BRA","Brazil",10,"Maranhão","","São Luíz de Maranhão","Estado","State"
427,32,"BRA","Brazil",11,"Mato Grosso do Sul","","","Estado","State"
428,32,"BRA","Brazil",12,"Mato Grosso","","Matto Grosso","Estado","State"
429,32,"BRA","Brazil",13,"Minas Gerais","","Minas|Minas Geraes","Estado","State"
430,32,"BRA","Brazil",14,"Pará","","","Estado","State"
431,32,"BRA","Brazil",15,"Paraíba","","Parahyba","Estado","State"
432,32,"BRA","Brazil",16,"Paraná","","","Estado","State"
433,32,"BRA","Brazil",17,"Pernambuco","","Pernambouc","Estado","State"
434,32,"BRA","Brazil",18,"Piauí","","Piauhy","Estado","State"
435,32,"BRA","Brazil",19,"Rio de Janeiro","","","Estado","State"
436,32,"BRA","Brazil",20,"Rio Grande do Norte","","","Estado","State"
437,32,"BRA","Brazil",21,"Rio Grande do Sul","","","Estado","State"
438,32,"BRA","Brazil",22,"Rondônia","","Guaporé","Estado","State"
439,32,"BRA","Brazil",23,"Roraima","","Rio Branco","Estado","State"
440,32,"BRA","Brazil",24,"Santa Catarina","","Santa Catharina","Estado","State"
441,32,"BRA","Brazil",25,"São Paulo","","","Estado","State"
442,32,"BRA","Brazil",26,"Sergipe","","","Estado","State"
443,32,"BRA","Brazil",27,"Tocantins","","","Estado","State"
